token_index,mean_l2_norm,min_l2_norm,max_l2_norm,count
1,62443.609140625,42085.1015625,71036.1796875,50
2,58332.3684375,47422.3125,68107.6171875,50
3,58504.600748697914,46109.4609375,67163.2890625,48
4,60342.22214673913,45603.73046875,72640.4375,46
5,59395.81583460366,45469.8203125,72683.375,41
6,57804.511314655174,41542.53515625,71809.65625,29
7,57666.4677734375,46730.296875,67130.453125,20
8,54922.98130580357,46988.98046875,65615.0859375,14
9,51664.654296875,42839.546875,56670.56640625,6
10,56213.833333333336,49006.20703125,67109.7578125,3
